# SOCIOCULTURE Phase 2B rescue decisions (LOW 248 + NONE_AUDIT)
# columns: qid	decision(RESCUE|REMAIN_LOW|REMAIN_NONE)	codes(,)	required_content(;)	rescue_basis	content_relevance	review_flags(,)
# rescue_basis letters: A=정답 논리가 성취기준과 실질 연결, B=사문 용어·선지 일부 교체로 전환, C=자료가 공식 내용에 직접 대응, D=2028 예시문항 깊이와 동등
2005_CSAT_Q03	RESCUE	2-01-02	시민 단체 참여와 시민성 함양; 공익 증진·여론 수렴을 통한 정책 반영	A: 정답(ㄴ,ㄹ)이 시민 단체의 공익 추구·정책 과정 참여 역할로 구성됨	시민 참여 방안으로서 시민 단체의 역할을 직접 다룸; 공동 사회·공식 조직 보기만 교체하면 통합사회 문항	
2005_CSAT_Q15	REMAIN_LOW		온라인·오프라인 동호 활동 그래프	자료 해석만 정보화 소재	정답 논리는 단순 그래프 수치 비교	
2005_CSAT_Q17	REMAIN_LOW		가족 기능	가족 기능 분류가 핵심	고령화는 소재 수준	
2005_JUNE_Q03	REMAIN_LOW		계층론	계층 이론 판별	사문 고유 이론	
2005_JUNE_Q05	REMAIN_LOW		학력 동질혼 표	표 해석	정답 논리는 사회 구조 개념	
2005_JUNE_Q09	REMAIN_LOW		가족 형태 분류	가족 유형 분류	사문 고유	
2005_SEPTEMBER_Q01	REMAIN_LOW		학문 분야별 연구 주제	학문 분야 구분	인권은 소재 수준	
2005_SEPTEMBER_Q02	REMAIN_LOW		기능론 관점 사례	관점 판별	분배 기준은 소재 수준	
2005_SEPTEMBER_Q03	RESCUE	1-05-02	인터넷 게시판 사례의 정보 사회 특징; 정보 질 판단의 어려움·공간 제약 없는 상호 작용	A: 정답(ㄴ,ㄷ)이 통신 발달에 따른 상호 작용 방식 변화와 정보 판단 문제	정보화에 따른 생활양식 변화와 문제점을 직접 묻는 구조; PNG 확인(Phase 2A 코드 2-03-02를 1-05-02로 교정)	
2005_SEPTEMBER_Q06	REMAIN_LOW		환경 단체의 조직 특성	정답(ㄷ,ㄹ,ㅁ)이 공식 조직·자발적 결사체 분류	환경 NGO는 소재, 정답은 조직 분류(PNG 확인)	
2005_SEPTEMBER_Q11	REMAIN_LOW		계층 구조 변화 그래프	계층 구조·이동 분류	사문 고유	
2006_CSAT_Q01	RESCUE	2-02-02	개인보다 공동체를 우선하는 관점	B: 보기를 공동체주의 정의관 진술로 교체하면 전환	제시문이 공동체 우선·의무 강조로 공동체주의 정의관과 직접 대응; 현재 정답은 사회 실재론	BOUNDARY_RESCUE_REMAIN_LOW
2006_CSAT_Q18	REMAIN_LOW		대중 매체 역기능	매체 역기능 사례 선택	정보화 문제와 간접 연결	
2006_JUNE_Q16	REMAIN_LOW		연구 윤리	연구 윤리 판단	인권은 소재 수준	
2006_SEPTEMBER_Q12	REMAIN_LOW		자본주의와 도시 형성	제시문 추론	도시화 양상·문제와 거리가 있음	
2006_SEPTEMBER_Q13	REMAIN_LOW		사회 유형별 가족 형태	가족 형태 분류	사문 고유	
2006_SEPTEMBER_Q18	REMAIN_LOW		문화의 학습성	문화 속성 맞히기	사문 고유	
2006_SEPTEMBER_Q20	REMAIN_LOW		불평등 기능론	계층화 이론	사문 고유	
2007_CSAT_Q09	REMAIN_LOW		가족 형태 다양화	가족관 변화 추론	가족 유형 소재	
2007_CSAT_Q11	REMAIN_LOW		계층 구성 요소 세대 간 일치	계층표 해석	사문 고유	
