# SOCIOCULTURE Phase 2C final decisions (457 candidates)
# columns: qid	decision(KEEP|DROP)	adaptation(NONE|LIGHT|SUBSTANTIAL)	codes(, blank=candidate codes)	required_content(; blank=previous)	content_relevance_reason	adaptation_note	drop_reasons(,)	review_flags(,)
2005_CSAT_Q03	KEEP	LIGHT			정답(ㄴ,ㄹ)이 시민 단체의 공익 증진·여론 수렴과 정책 반영 역할로 시민 참여 방안과 직접 연결	공동 사회·형식 절차 보기(ㄱ,ㄷ)만 교체		
2005_CSAT_Q06	KEEP	LIGHT			도시화에 따른 인구·산업·가구 구성 변화 자료 해석이 정답 논리	가족 형태 선지 조정		
2005_CSAT_Q07	KEEP	LIGHT			포틀래치를 사회 맥락(지위 경쟁·부의 재분배)에서 이해하는 사례 선택이 문화 차이의 맥락 파악과 연결	총체론 관점 설명을 '사회적 맥락 속 이해'로 표현 교체		BOUNDARY_KEEP_DROP,CURRICULUM_DEPTH
2005_CSAT_Q09	KEEP	NONE			사회 보험(연금)과 공공 부조(기초 생활 보장)의 비용 부담·성격 비교가 사회 복지 제도 내용과 직접 일치			
2005_CSAT_Q11	KEEP	LIGHT			아파트 보급의 문화 지체와 외래 문화 수용의 문화 접변 사례로 문화 변동 양상 이해	자극 전파·문화 진화 선지를 문화 변동 양상 선지로 교체		CURRICULUM_DEPTH
2005_CSAT_Q13	KEEP	LIGHT			지역 축제를 경제 자원으로 볼지 주민 문화 참여로 볼지의 쟁점이 지역사회 변화와 전통·지역 문화 활용과 연결	보기 표현 다듬기		
2005_CSAT_Q14	KEEP	NONE			환경 문제의 원인과 정부·개인 차원의 해결 노력, 지속가능한 개발이 정답 논리			
2005_CSAT_Q16	KEEP	NONE			인터넷 확산에 따른 정보 습득·의사 표현 방식 변화(쌍방향 매체)가 정보화에 따른 생활양식 변화와 일치			
2005_CSAT_Q19	KEEP	LIGHT		얌 증여 관습의 사회적 의미	트로브리안드 얌 증여 관습을 그 사회의 혼인·위세 체계 속에서 이해(정답 ㄱ,ㄷ; PNG 확인)	문화 이해 태도 발문으로 조정		BOUNDARY_KEEP_DROP
2005_CSAT_Q20	KEEP	LIGHT			교육 정도별 임금 격차 추이 해석이 소득 불평등 자료 분석	상대 임금 계산 단순화		
2005_JUNE_Q06	KEEP	LIGHT			도시와 농촌의 인구 구조 차이와 도시성(익명성)·농촌의 비공식 통제 비교가 도시화에 따른 생활양식 변화	성취 지위 보기 제거		
2005_JUNE_Q07	KEEP	NONE			지역별 연령 구조 변화와 노령화 자료 해석이 인구 구조 분석			
2005_JUNE_Q08	KEEP	LIGHT			정답(ㄴ,ㄹ)에 정부만으로 해결하기 어려운 문제에 대한 시민 단체 참여가 포함되어 시민 참여와 연결(PNG 확인)	퇴니스 공동 사회·가입 탈퇴 보기 교체		
2005_JUNE_Q18	KEEP	NONE			수도권 인구 집중과 지역 간 불균형, 지역 개발 방식이 공간 불평등·지역 격차 완화와 일치			
2005_JUNE_Q20	KEEP	NONE			지역 이기주의 극복을 위한 주민 참여·지방 분권이 지역사회 문제 해결 방안과 일치			
2005_SEPTEMBER_Q03	KEEP	NONE			인터넷 게시판 사례에서 정보의 질 판단 어려움·공간 제약 없는 상호 작용(정답 ㄴ,ㄷ)이 정보화에 따른 생활양식 변화			
2005_SEPTEMBER_Q04	KEEP	NONE			국가 복지의 등장과 국민기초생활보장법의 자립 강조가 사회 복지 제도 내용			
2005_SEPTEMBER_Q05	KEEP	NONE			인터넷 실명제 찬반(표현의 자유 vs 인권 침해)이 정보화 문제와 해결 방안			
2005_SEPTEMBER_Q08	KEEP	NONE			정보 기술 발달에 따른 다품종 소량 생산·전자 상거래·재택근무가 정보화에 따른 생활양식 변화			
2005_SEPTEMBER_Q09	KEEP	LIGHT			한류가 수용 사회에서 재해석되는 문화 접변이 문화 변동 양상과 세계화 속 문화 교류	선지 표현 조정		
2005_SEPTEMBER_Q12	DROP	SUBSTANTIAL			정답은 핵가족·확대 가족 형태 특성 비교(주민등록등본 판별)로 가족 형태 분류가 핵심	산업화는 선지 하나에 불과	SOCIOCULTURE_CLASSIFICATION	
2005_SEPTEMBER_Q14	KEEP	LIGHT			말의 도입이 원주민 사회를 변화시킨 문화 접변 사례(정답: 문화 접변; PNG 확인)	발견·자극 전파 선지를 문화 변동 양상 선지로 교체		
2005_SEPTEMBER_Q16	KEEP	NONE			도시·농촌 인구 피라미드로 도시 문제와 지역 특성을 추론하는 도시화·인구 구조 자료 분석			
2005_SEPTEMBER_Q17	KEEP	LIGHT			사회마다 다른 가족·친족 제도가 문화의 보편성과 다양성을 보여 주는 문화 다양성 이해 사례	가족 제도 용어 단순화		BOUNDARY_KEEP_DROP
2005_SEPTEMBER_Q18	KEEP	NONE			지역 축제 줄다리기 등 전통문화의 가치 재발견과 계승이 전통문화의 의의와 일치			
2005_SEPTEMBER_Q20	KEEP	LIGHT			일부다처제를 채집 경제·정치 지위와 연결해 이해하고 문화 상대주의 오답을 판별하는 맥락적 문화 이해	정답 표현(유기적 통합)을 맥락적 이해로 조정		BOUNDARY_KEEP_DROP
2006_CSAT_Q01	DROP	SUBSTANTIAL			공동체 우선 제시문은 공동체주의와 대응하나 정답 보기는 모두 사회 실재론·명목론 진술	보기 전부를 정의관 진술로 새로 써야 함	REQUIRES_SUBSTANTIAL_REWRITE,SOCIOCULTURE_THEORY	BOUNDARY_KEEP_DROP
2006_CSAT_Q02	KEEP	NONE			민법 개정(호주제 폐지 등)으로 양성평등의 제도적 기반을 마련한 사례가 차별 해소 제도와 일치			
2006_CSAT_Q05	DROP	SUBSTANTIAL			정답은 계층 구조 유형 변화(다이아몬드·피라미드) 판별로 계층 구조 분류가 핵심	양극화는 보기 일부	SOCIOCULTURE_CLASSIFICATION	
2006_CSAT_Q07	KEEP	NONE			독거노인 증가와 저소득 노인의 인권·빈곤 문제가 고령화 문제와 사회적 약자 인권과 일치			
2006_CSAT_Q08	KEEP	LIGHT			TV·PC·인터넷 보급과 이용 시간 변화 자료로 정보화 양상과 개인 정보 문제를 해석	보기 표현 정리		OCR_UNCERTAIN
2006_CSAT_Q10	KEEP	NONE			재일교포 문패의 병기 사례로 문화 접변 속 정체성 유지(문화 병존)가 문화 변동 양상			
2006_CSAT_Q11	KEEP	NONE			청소년 게임 셧다운제 찬반 토론이 정보화 문제와 해결 방안 쟁점			OCR_UNCERTAIN
2006_CSAT_Q13	KEEP	NONE			환경 보전과 개발의 조화(지속가능한 개발) 결론 도출이 환경 문제 해결·지속가능발전과 일치			
2006_CSAT_Q14	KEEP	LIGHT			가정과 일터 통합·지식 산업 비율로 구분한 사회 유형 비교가 산업화·정보화에 따른 생활양식 변화	사회 유형 퍼즐을 산업화·정보화 비교로 단순화		BOUNDARY_KEEP_DROP
2006_CSAT_Q15	DROP	SUBSTANTIAL			정답은 문화의 총체성(부분과 전체의 관계) 진술 판별로 문화 속성 맞히기	실내복 사례는 문화 다양성과 무관	SOCIOCULTURE_CLASSIFICATION	
2006_CSAT_Q16	KEEP	LIGHT			복지 예산 액수·비중 변화로 대처하려는 문제(소득 불평등·재정)를 추론하는 사회 복지 제도 자료	선지 조합 단순화		
2006_CSAT_Q17	KEEP	NONE			도시 인구 증가 요인(이촌향도·자연 증가·권역 확대) 자료가 도시화 양상 분석			
2006_JUNE_Q03	KEEP	NONE			농촌 국제결혼 가정 자녀의 편견·차별 자료로 탐구 주제 설정하는 다문화 사회 현황 탐구			
2006_JUNE_Q04	KEEP	LIGHT			지역별 고령 인구 비율·인구 이동 자료로 농촌 고령화 특성을 추론	1차적 관계 선지 조정		
2006_JUNE_Q07	KEEP	NONE			국가 주도 거점 개발의 문제와 지역 격차 완화 대책이 공간 불평등·지역사회 발전과 일치			
2006_JUNE_Q09	KEEP	LIGHT			가족 형태를 정상·비정상으로 나누는 편견(정답③)이 다양한 삶의 방식 존중·편견 문제와 연결	가족 기능 선지 교체		BOUNDARY_KEEP_DROP
2006_JUNE_Q10	KEEP	NONE			평균 수명 증가·출산율 감소 추세에 따른 저출산·고령화의 사회적 영향 추론			
2006_JUNE_Q13	KEEP	NONE			정규직·비정규직 임금·노동 시간 격차 자료가 사회 계층 양극화·불평등 자료 분석			
2006_JUNE_Q14	KEEP	LIGHT			비정규직 임금 격차에 대한 능력·노력 강조 입장과 구조 개혁 입장의 비교가 분배 기준·불평등 해결 쟁점	관점 이론 용어 제거		BOUNDARY_KEEP_DROP
2006_SEPTEMBER_Q03	KEEP	NONE			전통문화가 시대 상황에 맞게 재구성·재해석된다는 결론이 전통문화의 창조적 계승과 일치			
2006_SEPTEMBER_Q04	KEEP	LIGHT			거점 개발과 균형 개발 방식의 효과 비교가 지역 격차와 지역 개발 정책 이해와 연결	선지 표현 단순화		
2006_SEPTEMBER_Q05	KEEP	LIGHT			필자의 자문화 중심주의 판별이 문화 이해 태도의 핵심 내용	독자 관점(총체론) 조합을 문화 상대주의 표현으로 교체		BOUNDARY_KEEP_DROP
2006_SEPTEMBER_Q08	KEEP	LIGHT			내구 소비재 확산·대중 매체 발달 사회의 등장 요인(대량 생산 체제)이 산업화에 따른 생활양식 변화	보기 표현 정리		
2006_SEPTEMBER_Q09	DROP	SUBSTANTIAL			정답이 계층 구조 단계 그래프(중류층 비율·성취 지위)의 판별로 계층 구조 분석이 핵심	산업화는 보기 일부	SOCIOCULTURE_CLASSIFICATION	BOUNDARY_KEEP_DROP
2006_SEPTEMBER_Q10	KEEP	NONE			근로 장려형 소득 지원 제도의 재분배 효과와 생산적 복지가 사회 복지 제도와 일치			
2006_SEPTEMBER_Q14	KEEP	NONE			사이버 폭력·전자 상거래 피해·비방 게시물에 대한 대책이 정보화 문제 해결 방안			
2007_CSAT_Q04	KEEP	LIGHT			옹기 음식 문화를 지리적 환경·역사·사회경제적 여건 속에서 이해하는 대화가 문화권과 문화 다양성 이해	총체 관련 선지 표현 조정		
2007_CSAT_Q05	KEEP	NONE			계층별 소득 점유율로 공공 부조·과세의 불평등 완화 효과 해석이 복지 제도와 소득 불평등			
2007_CSAT_Q06	KEEP	LIGHT			정보 사회에 대한 낙관적·비판적 견해 비교가 정보화에 따른 변화와 문제	정보 사회관 명칭 단순화		
2007_CSAT_Q08	KEEP	NONE			다국적 기업의 현지화 요구와 문화 전파·접변, 문화 상대주의 판단이 세계화 속 문화 변동·문화 이해 태도			
2007_CSAT_Q14	DROP	SUBSTANTIAL			정답이 80세 이상 노인의 가구 형태를 핵가족·확대 가족으로 분류해 비교하는 표 해석	고령화 자료는 활용 가능하나 정답 논리는 가족 형태 분류	SOCIOCULTURE_CLASSIFICATION,DATA_ONLY	
2007_CSAT_Q15	KEEP	LIGHT			전통 의례가 상업화된 축제로 바뀌며 빈부 격차가 생긴 사례가 문화 변동·전통문화의 변화	보기 표현 조정		
2007_CSAT_Q18	KEEP	NONE			수도권 인구·금융 집중 자료가 공간 불평등·수도권 집중 분석			
2007_CSAT_Q19	KEEP	LIGHT			일방향·쌍방향 매체 사회의 여론 형성·구성원 능동성 비교가 정보화에 따른 생활양식 변화	대중 매체 사회화 선지 조정		
2007_JUNE_Q08	DROP	SUBSTANTIAL			정답이 계층 구조 유형 변화와 개방적 계층 구조 판별	양극화는 선지 하나	SOCIOCULTURE_CLASSIFICATION	
2007_JUNE_Q09	KEEP	NONE			혐오 시설 입지 갈등에서 이해 당사자 간 신뢰가 필요하다는 결론이 지역사회 문제 해결			
2007_JUNE_Q14	KEEP	NONE			결혼 이민자 자녀의 도시·농촌 분포 자료가 다문화 사회 현황			
