# PHASE 2A semantic review (Claude, batch reading of stem/passage/choices/official answer; PNG checked where OCR broken)
# columns: question_id<TAB>decision<TAB>codes (short, 10통사 prefix implied)<TAB>required_content (;-sep)<TAB>adaptation_note / rationale<TAB>phase2a review flags
# flags: BOUNDARY_DIRECT_ADAPTABLE, INDIRECT_CURRICULUM_LINK, DATA_ONLY_ANSWER_LOGIC_SOCIOCULTURE, OCR_UNCERTAIN
2005_CSAT_Q01	NONE		사회·문화 현상과 자연 현상 비교	사문 고유(현상 특성 비교)	
2005_CSAT_Q02	NONE		내집단; 역할 갈등	집단·역할 분류	
2005_CSAT_Q03	LOW	2-01-02	자발적 결사체; 시민 참여	시민단체 소재는 시민참여와 연결되나 정답 논리는 조직 유형	INDIRECT_CURRICULUM_LINK
2005_CSAT_Q04	NONE		연구 방법	소재(시민단체)만 관련, 연구방법 문항	
2005_CSAT_Q05	NONE		일탈 이론	일탈 이론 학자별	
2005_CSAT_Q06	DIRECT	1-05-01	산업화·도시화에 따른 인구·가구 변화 자료 해석	도시화 지역 변화 표 해석	BOUNDARY_DIRECT_ADAPTABLE
2005_CSAT_Q07	ADAPTABLE	1-04-03	문화를 사회 맥락 속에서 이해	총체론적 관점(사문 용어)을 문화 이해 태도(상대주의적 이해)로 바꾸면 활용	BOUNDARY_DIRECT_ADAPTABLE
2005_CSAT_Q08	NONE		연구 절차	연구방법	
2005_CSAT_Q09	DIRECT	2-02-03	사회 보험과 공공 부조 비교	사회 복지 제도 비교; 예시문항 13번(기초연금)과 같은 층위	
2005_CSAT_Q10	NONE		사회 실재론	사회관	
2005_CSAT_Q11	ADAPTABLE	1-04-02	문화 변동(문화 접변); 문화 지체	문화지체·내재적 변동 용어를 문화 변동 양상 중심으로 바꾸면 활용	
2005_CSAT_Q12	NONE		관료제	조직론	
2005_CSAT_Q13	ADAPTABLE	1-05-03,1-04-02	지역 문화와 지역사회 발전 관점	지역 축제 쟁점 → 지역사회 변화·전통문화 활용 문항으로 변형	
2005_CSAT_Q14	DIRECT	1-03-03	환경 문제 원인과 해결 방안(정부·개인 노력)	환경 문제 해결 노력 주체	
2005_CSAT_Q15	LOW	1-05-02	온라인·오프라인 활동 자료 해석	자료만 정보화 소재, 정답 논리는 단순 그래프 해석	DATA_ONLY_ANSWER_LOGIC_SOCIOCULTURE
2005_CSAT_Q16	DIRECT	1-05-02	정보화에 따른 생활양식 변화(인터넷, 쌍방향 매체)	정보 사회 변화	
2005_CSAT_Q17	LOW	2-05-01	가족 기능; 노인 문제	가족 기능 분류가 핵심, 고령화 소재만 관련	INDIRECT_CURRICULUM_LINK
2005_CSAT_Q18	NONE		갈등론	관점 이론	
2005_CSAT_Q19	ADAPTABLE	1-04-03	문화를 그 사회 맥락에서 이해(증여 관습)	문화 이해 관점 사례로 변형 가능	BOUNDARY_DIRECT_ADAPTABLE
2005_CSAT_Q20	ADAPTABLE	2-02-03	학력별 임금 격차 자료 해석	소득 불평등 자료로 활용, 상대 임금 계산은 단순화 필요	
2005_JUNE_Q01	NONE		사회·문화 현상과 자연 현상	현상 특성	
2005_JUNE_Q02	NONE		자료 수집 방법	연구방법	
2005_JUNE_Q03	LOW	2-02-03	계층론과 계급론	불평등 소재이나 정답 논리는 계층 이론	INDIRECT_CURRICULUM_LINK
2005_JUNE_Q04	NONE		양적 연구	연구방법	
2005_JUNE_Q05	LOW	2-02-03	학력 동질혼 표 해석	자료는 사회 구조·불평등 소재, 정답 논리는 표 해석	DATA_ONLY_ANSWER_LOGIC_SOCIOCULTURE
2005_JUNE_Q06	ADAPTABLE	1-05-01	도시와 농촌 인구 구조·도시성 특징	도시화에 따른 생활양식(익명성 등) 문항으로 변형; 성취지위 선지 제거 필요	
2005_JUNE_Q07	DIRECT	2-05-01	연령별 인구 구성 변화와 노령화	인구 구조 자료 해석	
2005_JUNE_Q08	ADAPTABLE	2-01-02	시민 단체와 시민 참여	시민 참여 주체 문항으로 변형; 결사체 분류 선지 제거	
2005_JUNE_Q09	LOW	1-05-01	가족 형태(핵가족·확대 가족)	생활양식 변화 소재, 가족 형태 분류는 사문	INDIRECT_CURRICULUM_LINK
2005_JUNE_Q10	NONE		가족 해체를 보는 관점(갈등론)	관점 이론	
2005_JUNE_Q11	NONE		역할 갈등	역할 개념	
2005_JUNE_Q12	NONE		공식·비공식 조직	조직 분류	
2005_JUNE_Q13	NONE		탐구 태도	연구 태도	
2005_JUNE_Q14	NONE		연구 방법	연구방법	
2005_JUNE_Q15	NONE		연구 방법	연구방법	
2005_JUNE_Q16	NONE		탈관료제	조직론	
2005_JUNE_Q17	NONE		내집단; 준거집단	집단 분류	
2005_JUNE_Q18	DIRECT	2-02-03,1-05-03	수도권 인구 집중과 지역 격차; 지역 개발 방식	공간 불평등·지역 격차 완화	
2005_JUNE_Q19	NONE		사회 이동 유형	사회 이동 분류	
2005_JUNE_Q20	ADAPTABLE	1-05-03	지역 이기주의와 지역 문제 해결	지역사회 문제 해결 방안 문항으로 활용	
2005_SEPTEMBER_Q01	LOW	2-01-03	청소년 인권 소재; 학문 분야별 연구 주제	인권 소재지만 정답 논리는 학문 분야 구분	INDIRECT_CURRICULUM_LINK
2005_SEPTEMBER_Q02	LOW	2-02-01	기여(업적)에 따른 차등 보상 관점	업적 기준 분배 소재 → 정의의 실질적 기준 문항으로 변형 가능; 현재 정답은 기능론 관점 판별	INDIRECT_CURRICULUM_LINK
2005_SEPTEMBER_Q03	LOW	2-03-02	소비자 권리·소비자 단체	소비자 역할 소재, 보기 OCR 불완전	OCR_UNCERTAIN
2005_SEPTEMBER_Q04	DIRECT	2-02-03	국가 복지의 등장; 국민기초생활보장(공공 부조)	사회 복지 제도	
2005_SEPTEMBER_Q05	DIRECT	1-05-02,2-01-02	인터넷 실명제 쟁점(표현의 자유 vs 인권 침해)	정보화에 따른 문제와 해결 방안	BOUNDARY_DIRECT_ADAPTABLE
2005_SEPTEMBER_Q06	LOW	1-03-03	환경 단체(비정부 기구) 특성	환경 NGO 소재, 정답은 결사체 특성	INDIRECT_CURRICULUM_LINK,OCR_UNCERTAIN
2005_SEPTEMBER_Q07	NONE		온라인 설문 조사 분석	연구방법	
2005_SEPTEMBER_Q08	DIRECT	1-05-02	정보 사회의 생산·소비 방식 변화; 전자상거래·재택근무	정보화에 따른 생활양식 변화	
2005_SEPTEMBER_Q09	ADAPTABLE	1-04-02,2-04-01	한류 확산과 문화 접변; 수용 사회의 재해석	문화 전파·세계화 문항으로 변형	BOUNDARY_DIRECT_ADAPTABLE
2005_SEPTEMBER_Q10	NONE		지위·역할·준거집단	지위·역할 퍼즐	
2005_SEPTEMBER_Q11	LOW	2-02-03	계층 구조 변화(산업화)	계층 구조 유형 소재, 정답 논리는 사회 이동·계층 구조 분류	INDIRECT_CURRICULUM_LINK
2005_SEPTEMBER_Q12	ADAPTABLE	1-05-01	산업화와 핵가족화	산업화에 따른 생활양식 변화로 변형; 가족 형태 비교 선지 조정	
2005_SEPTEMBER_Q13	NONE		연구 주제와 자료 수집 방법	연구방법	
2005_SEPTEMBER_Q14	DIRECT	1-04-02	문화 전파·문화 접변 사례(말의 도입)	문화 변동 양상	
2005_SEPTEMBER_Q15	NONE		대규모 조직(관료제) 특징	조직론	
2005_SEPTEMBER_Q16	DIRECT	1-05-01,2-05-01	도시·농촌 인구 피라미드와 도시 문제	도시화와 인구 구조 자료 해석	
2005_SEPTEMBER_Q17	ADAPTABLE	1-04-03	가족 제도의 보편성과 다양성	문화 다양성·상대주의 이해 문항으로 변형	
2005_SEPTEMBER_Q18	DIRECT	1-04-02	전통문화의 의의와 계승	현대 사회에서 전통문화의 의의	
2005_SEPTEMBER_Q19	NONE		사회 실재론	사회관	
